animal_id,state,label,category,n_trials,occupancy,accuracy,wsls_ratio,latency_mean,latency_std,latency_cv,side_bias
31,0,Undefined State 0.0,Mixed,149,0.41620111731843573,0.4563758389261745,1.0579937304075235,3.6803703703703707,2.4023702627000527,0.6527523104850701,0.5906040268456376
31,1,Undefined State 1.0,Mixed,32,0.0893854748603352,0.4375,1.0461538461538462,4.2736,1.9836333582595347,0.46415980865301726,0.65625
31,2,Procedural High-Performance,Engaged,177,0.49441340782122906,0.7740112994350282,1.451851851851852,2.2220655737704917,1.1074095428649762,0.498369425248724,0.2655367231638418
32,0,Disengaged Lapse,Lapsed,76,0.22418879056047197,0.5131578947368421,0.8571428571428571,,,,0.5657894736842105
32,1,Undefined State 1.0,Mixed,151,0.44542772861356933,0.5894039735099338,0.9704545454545455,7.462054794520548,8.054628496658184,1.0794115988765947,0.47019867549668876
32,2,Deliberative High-Performance,Engaged,112,0.3303834808259587,0.8839285714285714,1.809278350515464,5.016000000000001,10.52856891102897,2.0989969918319313,0.14285714285714285
33,0,Procedural High-Performance,Engaged,101,0.3344370860927152,0.7821782178217822,1.0408163265306123,2.1563000000000008,1.2788920410384836,0.5930955994242374,0.21782178217821782
33,1,Undefined State 1.0,Mixed,164,0.543046357615894,0.6036585365853658,1.1638632664134563,2.3382424242424245,1.2900890238250766,0.5517345038519935,0.45121951219512196
33,2,Disengaged Lapse,Lapsed,37,0.12251655629139073,0.16216216216216217,1.0,6.953000000000001,4.432357348710353,0.637474090135244,1.0
34,0,Undefined State 0.0,Mixed,3,0.007832898172323759,0.6666666666666666,,,,,0.3333333333333333
34,1,Disengaged Lapse,Lapsed,139,0.3629242819843342,0.4892086330935252,1.0245310245310246,4.9685,5.329677592524687,1.0726934874760365,0.5611510791366906
34,2,Procedural High-Performance,Engaged,241,0.6292428198433421,0.7925311203319502,1.1294261294261294,3.348095238095238,1.7153035827375809,0.5123222192787541,0.2987551867219917
