animal_id,cohort,genotype,accuracy,engaged_occ,lapsed_occ,wsls,n_trials,performer_group
c2m1,W,+,0.3633633633633634,0.2552552552552553,0.0,1.049786857155143,666,High Performer
c2m4,W,+,0.35469448584202684,0.0,0.0,1.272129155913799,671,High Performer
c2m2,W,+,0.37719298245614036,0.20760233918128654,0.0,1.0135501574834194,684,High Performer
c4m2,W,-,0.23062730627306274,0.0,0.4612546125461255,0.9510671336441601,542,Low Performer
c4m1,W,-,0.31561461794019935,0.0,0.0,1.0493028527570762,301,Low Performer
c3m2,W,-,0.3231292517006803,0.38095238095238093,0.0,0.9592005876835967,588,Low Performer
c3m1,W,-,0.35551330798479086,0.629277566539924,0.0,1.100389254227234,526,High Performer
c2m3,W,+,0.4267515923566879,0.8630573248407643,0.0,0.9474203150546388,314,High Performer
c2m5,W,+,0.42671009771986973,0.0,0.11074918566775244,1.1061704748687207,307,High Performer
c1m3,W,+,0.3154981549815498,0.14760147601476015,0.4077490774907749,1.1546281520068353,542,Low Performer
c4m5,W,-,0.30022075055187636,0.24282560706401765,0.1368653421633554,1.07062256593882,453,Low Performer
c1m2,W,+,0.33727810650887574,0.0,0.005917159763313609,,507,Low Performer
c1m4,W,+,0.24680851063829787,0.12340425531914893,0.8765957446808511,,235,Low Performer
c3m4,W,-,0.2631578947368421,0.0,0.01238390092879257,,323,Low Performer
c4m4,W,-,0.2775800711743772,0.0,0.708185053380783,1.1567604310159096,281,Low Performer
c4m3,W,-,0.32608695652173914,0.0,0.005434782608695652,,368,Low Performer
c3m3,W,-,0.33995584988962474,0.44370860927152317,0.0,1.1255494003544761,453,High Performer
c3m5,W,-,0.21653543307086615,0.0,0.5393700787401575,1.0693185409918815,254,Low Performer
34,F,+,0.24666666666666667,0.0,0.8666666666666667,,150,Low Performer
25,F,+,0.48333333333333334,0.0,0.041666666666666664,,120,High Performer
82,F,-/-,0.5533333333333333,0.0,0.013333333333333334,,150,High Performer
91,F,+/+,0.3541666666666667,0.0,1.0,,240,High Performer
51,F,+/+,0.49572649572649574,0.17094017094017094,0.05128205128205128,,117,High Performer
32,F,+,0.2108843537414966,0.0,0.7959183673469388,,147,Low Performer
62,F,+/-,0.4666666666666667,0.5416666666666666,0.4583333333333333,,120,High Performer
72,F,+/+,0.44339622641509435,0.11320754716981132,0.8867924528301887,0.8414012920117249,212,High Performer
31,F,+,0.47333333333333333,0.013333333333333334,0.0,,150,High Performer
23,F,+,0.3888888888888889,0.022222222222222223,0.9777777777777779,,180,High Performer
11,F,+,0.2222222222222222,0.0,1.0,0.9659462269756387,180,Low Performer
42,F,+/+,0.25333333333333335,0.04666666666666667,0.9533333333333334,,150,Low Performer
81,F,+/-,0.3,0.0,1.0,0.9835926773455379,150,Low Performer
73,F,+/-,0.49166666666666664,0.0,0.0,1.0999025341130604,120,High Performer
101,F,+/-,0.5833333333333334,0.8333333333333334,0.06666666666666667,1.1930555555555558,120,High Performer
61,F,+/-,0.18333333333333332,0.0,1.0,1.1918526785714287,120,Low Performer
