animal_id,genotype,p1_accuracy,p2_accuracy,p1_wsls,p2_wsls,accuracy_change,wsls_change
c4m3,-,0.7180466592231299,0.32480459770114944,1.2581315249158473,1.1879113058266784,-0.3932420615219805,-0.07022021908916898
c3m3,-,0.7088136264606852,0.5392845232254315,1.0783996376597755,1.0891078963300818,-0.16952910323525372,0.010708258670306225
c1m2,+,0.6959091634738187,0.42512727076158946,1.8364206347559984,1.1205158722319895,-0.27078189271222924,-0.7159047625240089
c2m2,+,0.6188229727312096,0.5718289271366276,1.4306939889820327,0.9958787881988185,-0.04699404559458198,-0.43481520078321423
c1m4,+,0.7085263863391322,0.30933557611438184,1.0259158008474152,1.2605994152046782,-0.3991908102247504,0.23468361435726304
c2m4,+,0.5722344861417709,0.49647027713137293,0.9115607292436562,1.1624122124407046,-0.07576420901039793,0.2508514831970484
c2m1,+,0.712430426716141,0.5883368283561147,0.9627639751552795,1.0693267485069062,-0.12409359836002631,0.10656277335162678
c4m5,-,0.6533564814814815,0.4807070823027659,1.2894882588132484,1.034547722615702,-0.17264939917871563,-0.2549405361975463
c4m4,-,0.5584792842493597,0.45208950736588926,1.1715467747382642,0.8191463586200429,-0.1063897768834704,-0.35240041611822126
c3m2,-,0.7212761494620167,0.5955183586402861,1.2762749076268725,1.000034759486081,-0.12575779082173055,-0.27624014814079145
c1m3,+,0.7716690716690717,0.5297985392688834,0.918988804429513,1.16486503438551,-0.2418705324001883,0.245876229955997
c4m2,-,0.7316879486690807,0.4114520547945205,1.0676807906479329,0.9553611501501027,-0.3202358938745602,-0.11231964049783016
c2m3,+,0.4863387286323316,0.6257491409334093,0.889119858326402,0.9655871458254165,0.1394104123010777,0.07646728749901455
c4m1,-,0.7222603111825808,0.5426610372831303,1.6472841656987998,0.9739290302225841,-0.17959927389945052,-0.6733551354762156
c3m1,-,0.6289408200800606,0.5247190125575348,0.8953136810279667,1.165161058413142,-0.10422180752252574,0.2698473773851753
c3m5,-,0.6158902922939254,0.4022776426061097,1.184556993529119,1.2909997493488954,-0.21361264968781574,0.10644275581977647
c3m4,-,0.7170804808886203,0.31318941065237943,1.2669753086419753,1.1513779557706443,-0.4038910702362409,-0.115597352871331
c2m5,+,0.5851094638011896,0.44603378692096146,0.9540288148384617,1.1265929518941566,-0.1390756768802281,0.17256413705569495
